HA1,,HA2,,HA3,,HA4,,HA5,,HA6,,HA7,,HA8,,HA9,,HB1,,HB2,,HB3,,HB4,,HB5,,HB6,,HB7,,HB8,,HB9,
X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm)
,,,,,,,,,,,,,,,,,,,,,,,,-12.646938,-15.949413,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.59935,-15.14551,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.964543,4.046863,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.633005,13.060216,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.4168,13.314743,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.782853,20.016246,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.797943,19.79747,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.252069,16.274117,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.565691,15.196451,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.869061,-4.49227,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.381641,-13.355344,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-3.190229,-20.119208,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.454169,-19.877637,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.734082,-15.899788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.678594,-15.094905,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.996642,3.965623,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.583328,13.143506,,,,,,,,,,
